OTU_ID,taxonomy
OTU_315,k__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Acidobacteriaceae (Subgroup 1); g__Granulicella; s__Unassigned.Granulicella
OTU_540,k__Bacteria; p__Nitrospirae; c__Nitrospira; o__Nitrospirales; f__Nitrospiraceae; g__Nitrospira; s__Unassigned.Nitrospira
OTU_159,k__Bacteria; p__Nitrospirae; c__Nitrospira; o__Nitrospirales; f__Nitrospiraceae; g__Nitrospira; s__Unassigned.Nitrospira
OTU_594,k__Bacteria; p__Nitrospirae; c__Nitrospira; o__Nitrospirales; f__Nitrospiraceae; g__Nitrospira; s__Unassigned.Nitrospira
OTU_417,k__Bacteria; p__Chlamydiae; c__Chlamydiae; o__Chlamydiales; f__Criblamydiaceae; g__Unassigned.Criblamydiaceae; s__Unassigned.Criblamydiaceae
OTU_542,k__Bacteria; p__Chlamydiae; c__Chlamydiae; o__Chlamydiales; f__Parachlamydiaceae; g__Unassigned.Parachlamydiaceae; s__Unassigned.Parachlamydiaceae
OTU_794,k__Bacteria; p__Patescibacteria; c__Microgenomatia; o__Candidatus Pacebacteria; f__Unassigned.Candidatus Pacebacteria; g__Unassigned.Candidatus Pacebacteria; s__Unassigned.Candidatus Pacebacteria
OTU_358,k__Bacteria; p__Dependentiae; c__Babeliae; o__Babeliales; f__Babeliaceae; g__uncultured organism; s__Unassigned.uncultured organism
OTU_313,k__Bacteria; p__Dependentiae; c__Babeliae; o__Babeliales; f__Vermiphilaceae; g__Unassigned.Vermiphilaceae; s__Unassigned.Vermiphilaceae
OTU_911,k__Bacteria; p__Dependentiae; c__Babeliae; o__Babeliales; f__Babeliaceae; g__uncultured Desulfobacteraceae bacterium; s__Unassigned.uncultured Desulfobacteraceae bacterium
OTU_493,k__Bacteria; p__Dependentiae; c__Babeliae; o__Babeliales; f__Unassigned.Babeliales; g__Unassigned.Babeliales; s__Unassigned.Babeliales
OTU_1072,k__Bacteria; p__Dependentiae; c__Babeliae; o__Babeliales; f__Unassigned.Babeliales; g__Unassigned.Babeliales; s__Unassigned.Babeliales
OTU_451,k__Bacteria; p__Latescibacteria; c__Unassigned.Latescibacteria; o__Unassigned.Latescibacteria; f__Unassigned.Latescibacteria; g__Unassigned.Latescibacteria; s__Unassigned.Latescibacteria
OTU_787,k__Bacteria; p__Deinococcus-Thermus; c__Deinococci; o__Deinococcales; f__Deinococcaceae; g__Deinococcus; s__Unassigned.Deinococcus
OTU_976,k__Bacteria; p__Deinococcus-Thermus; c__Deinococci; o__Deinococcales; f__Deinococcaceae; g__Deinococcus; s__Unassigned.Deinococcus
OTU_985,k__Bacteria; p__Patescibacteria; c__Saccharimonadia; o__Saccharimonadales; f__Unassigned.Saccharimonadales; g__Unassigned.Saccharimonadales; s__Unassigned.Saccharimonadales
OTU_287,k__Bacteria; p__Patescibacteria; c__Saccharimonadia; o__Saccharimonadales; f__metagenome; g__Unassigned.metagenome; s__Unassigned.metagenome
OTU_1034,k__Bacteria; p__Patescibacteria; c__Saccharimonadia; o__Saccharimonadales; f__Unassigned.Saccharimonadales; g__Unassigned.Saccharimonadales; s__Unassigned.Saccharimonadales
OTU_893,k__Bacteria; p__Patescibacteria; c__Saccharimonadia; o__Saccharimonadales; f__Unassigned.Saccharimonadales; g__Unassigned.Saccharimonadales; s__Unassigned.Saccharimonadales
OTU_921,k__Bacteria; p__Patescibacteria; c__Saccharimonadia; o__Saccharimonadales; f__Unassigned.Saccharimonadales; g__Unassigned.Saccharimonadales; s__Unassigned.Saccharimonadales
OTU_246,k__Bacteria; p__FBP; c__Unassigned.FBP; o__Unassigned.FBP; f__Unassigned.FBP; g__Unassigned.FBP; s__Unassigned.FBP
OTU_766,k__Bacteria; p__FBP; c__Unassigned.FBP; o__Unassigned.FBP; f__Unassigned.FBP; g__Unassigned.FBP; s__Unassigned.FBP
OTU_26,k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Fusobacteriaceae; g__Fusobacterium; s__Unassigned.Fusobacterium
OTU_797,k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Fusobacteriaceae; g__Cetobacterium; s__Unassigned.Cetobacterium
OTU_2,k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Fusobacteriaceae; g__Cetobacterium; s__Unassigned.Cetobacterium
OTU_180,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Cytophagales; f__Spirosomaceae; g__Emticicia; s__uncultured Bacteroidetes bacterium
OTU_877,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Cytophagales; f__Spirosomaceae; g__Emticicia; s__Unassigned.Emticicia
OTU_290,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Cytophagales; f__Spirosomaceae; g__Runella; s__Unassigned.Runella
OTU_119,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Cytophagales; f__Microscillaceae; g__Unassigned.Microscillaceae; s__Unassigned.Microscillaceae
