OTUId	B02.L.1	B02.L.2	B02.L.3	B02.L.5	B02.W.1	B02.W.3	B02.W.4	B02.W.5	B02.W.6	B02.W.7	B14.L.1	B14.L.2	B14.L.6	B14.W.1	B14.W.2	B14.W.4	B14.W.5	B14.W.6	B14.W.7	R02.L.1	R02.L.2	R02.L.3	R02.L.4	R02.L.5	R02.W.2	R02.W.3	R02.W.4	R02.W.6	R02.W.7	R02.W.8	R14.L.2	R14.L.3	R14.L.4	R14.L.5	R14.W.10	R14.W.11	R14.W.2	R14.W.3	R14.W.4	R14.W.6	R14.W.7	R14.W.8	R14.W.9	XF.1	XF.2	XF.3	XF.4	XF.6	XS.2	XS.3	XS.4	XS.5	XS.6
OTU_1	18266	28330	69	147	4648	55	364	34938	1270	2694	47634	83456	2688	6497	70	24	17663	23	13286	29050	73502	55486	56122	77	16685	16791	78	14042	266	113	27	60	40708	68	29	10545	22387	18	24	60	15	74	14	363	92700	308	34165	51933	40308	65	28	170	75
OTU_97	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_14	0	0	76	0	15674	23	0	0	53	5	1	0	541	0	0	0	0	0	1	0	0	2	0	1	1	0	0	98	0	0	0	0	2	0	0	1	0	0	0	19	0	1	0	583	0	76	0	0	0	0	0	12	0
OTU_2	19	15	6435	57	101	17419	8	6	182	461	2	2	1881	7	9	4	21	7545	7	37	44	25	24	66	159	12689	11608	75	43	119	27	14588	79	71	9408	42	6529	34215	17634	33547	33	21292	41	13552	1411	2450	7	51	73	7686	32900	10201	78559
OTU_89	0	0	18	0	56	0	0	0	26	17	0	0	49	0	0	0	0	0	0	0	0	0	0	1	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	7	1	0	0	77	0	3	0	0	0	0	0	0	0
OTU_379	0	0	0	321	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	18	1	1	1	0	0	2	0	0	1	9	0	0	0	0	0	0	0	0	0	1	0	0	4
OTU_850	1	1	31	87	296	0	0	0	0	74	0	0	128	1	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	1	0	0	0	0	0	0	0	0	0	10	0	0	0	48	0	9	0	0	0	0	0	0	0
OTU_263	0	0	2	11	9	5	0	0	9	13	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	33	0	22	0	0	0	0	0	1	0
OTU_8	0	1	0	0	2	0	0	0	904	0	0	0	23	0	0	0	0	0	4	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0
OTU_120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	1	0	0	7	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2
OTU_4	3	5	9	1	2459	100	30890	8	217	134	6	274	0	24	14394	11018	8	13	12	3	0	0	0	35897	1	1378	2	2	8	2	1	2	3	1	3	0	7	0	0	1	454	31	1	92	13	38	6	1	28	25	14	21	7
OTU_107	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	21	25	0	2	1	0	3	4	13	0	1	0	101	3	82	0	0	1	1	31	614	2
OTU_13	0	0	0	102	0	0	0	0	141	0	0	0	0	0	0	0	0	0	0	0	4	3	0	0	0	0	2	0	0	0	0	2	1	0	0	0	0	0	0	1	0	0	0	0	1	3	3	0	0	0	0	0	1
OTU_5	1	4	1	203	0	2	1	4	0	1	0	0	0	0	0	1	0	0	0	1599	294	20	471	1	2	5	6	3	7	2059	11504	3	2	10688	22	1110	8	3	3	701	8844	31	9625	75	2	6	7	2636	0	0	2	2091	315
OTU_75	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	2	2	0	0	0	0	0	0
OTU_634	0	0	0	0	5	0	0	1	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	53	0	0	0	0	0	0	0	0	0
