simpleUniqueID,SampleID,SampleID_old,stock,treat_c ,timepoint,control,student,check,depth,GSI,BC,ate_fry,source_tank,gen,treat_tank,length_mm,mass_g,gonad_g,brood_size,treat_c ,a,b,c,d,e,f
B02.L.1,B02.L.1,LSB2.1,LS,B02,1,treat,KE,y,18327,1.047619048,-0.05,no,1-1-150,lab,Z,41.6,2.1,0.022,19,B02,1,1,1,1,1,2
B02.L.2,B02.L.2,LSB2.2,LS,B02,1,treat,KE,y,28373,4.603174603,0.082,no,1-1-050,lab,UZ,47.6,3.15,0.145,47,B02,1,1,1,1,1,2
B02.L.3,B02.L.3,LSB2.3,LS,B02,1,treat,KE,y,7066,1.043771044,-0.3275,yes,1-1-335,lab,UZ,49.1,2.97,0.031,37,B02,1,1,1,1,1,2
B02.L.5,B02.L.5,LSB2.5,LS,B02,1,treat,KE,y,70640,1.262798635,0.2292,NA,NA,lab,UZ,45.2,2.93,0.037,NA,B02,1,1,1,1,1,2
B02.W.1,B02.W.1,WSB2.1,WS,B02,1,treat,KE,y,37703,0.510204082,-0.0982,no,5-1-050,F3,Z,41,1.96,0.01,8,B02,1,1,1,1,1,2
B02.W.3,B02.W.3,WSB2.3,WS,B02,1,treat,KE,y,21556,1.153846154,0.0219,no,5-2-050,F4,Z,39.3,1.82,0.021,14,B02,1,1,1,1,1,2
B02.W.4,B02.W.4,WSB2.4,WS,B02,1,treat,KE,y,31278,3.214285714,-0.0079,no,5-1-140,F3,UZ,45.9,2.8,0.09,27,B02,1,1,1,1,1,2
B02.W.5,B02.W.5,WSB2.5,WS,B02,1,treat,KE,y,34966,1.169354839,-0.2667,no,5-2-335,F4,UZ,45.5,2.48,0.029,15,B02,1,1,1,1,1,2
B02.W.6,B02.W.6,WSB2.6,WS,B02,1,treat,KE,y,17125,1.06870229,0.3782,no,5-2-240,F3,UZ,42.2,2.62,0.028,20,B02,1,1,1,1,1,2
B02.W.7,B02.W.7,WSB2.7,WS,B02,1,treat,KE,y,7093,0.519480519,-0.0236,NA,NA,F3,Z,42.8,2.31,0.012,NA,B02,1,1,1,1,1,2
B14.L.1,B14.L.1,LSB14.1,LS,B14,2,treat,KE,y,47649,0.697674419,-0.0306,no,1-1-050,lab,UZ,41.8,2.15,0.015,1,B14,1,0,0,0,0,2
B14.L.2,B14.L.2,LSB14.2,LS,B14,2,treat,KE,y,83747,0.952380952,-0.3254,no,1-1-050,lab,UZ,43.4,2.1,0.02,11,B14,1,0,0,0,0,2
B14.L.6,B14.L.6,LSB14.6,LS,B14,2,treat,KE,y,18665,0.793650794,-0.4769,no,1-2-240,lab,UZ,38.9,1.26,0.01,30,B14,1,0,0,0,0,2
B14.W.1,B14.W.1,WSB14.1,WS,B14,2,treat,KE,y,6533,0.64,-0.0172,no,5-2-335,F4,Z,44,2.5,0.016,19,B14,1,0,0,0,0,2
B14.W.2,B14.W.2,WSB14.2,WS,B14,2,treat,KE,y,14491,0.914634146,-0.5406,no,5-1-050,F3,Z,41.8,1.64,0.015,19,B14,1,0,0,0,0,2
B14.W.4,B14.W.4,WSB14.4,WS,B14,2,treat,KE,y,11053,0.546623794,-0.4323,no,5-1-140,F3,UZ,50.7,3.11,0.017,25,B14,1,0,0,0,0,2
B14.W.5,B14.W.5,WSB14.5,WS,B14,2,treat,KE,y,17699,2.084690554,0.5222,no,5-1-335,F5,UZ,44.2,3.07,0.064,8,B14,1,0,0,0,0,2
B14.W.6,B14.W.6,WSB14.6,WS,B14,2,treat,KE,y,10228,1.142857143,0.106898,no,5-2-240,F3,Z,43.1,2.45,0.028,6,B14,1,0,0,0,0,2
B14.W.7,B14.W.7,WSB14.7,WS,B14,2,treat,KE,n,13315,1.455223881,-0.541,no,5-2-335,NA,Z,48.6,2.68,0.039,26,B14,1,0,0,0,0,2
R02.L.1,R02.L.1,LSR2.1,LS,R02,3,treat,KE,y,30750,0.866666667,-0.43979,no,1-2-335,lab,Z,50.03,3,0.026,9,R02,0,1,2,0,2,1
