OTUId	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU_1	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Unassigned.Mycobacterium
OTU_10	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Unassigned.Aeromonas
OTU_100	Bacteria	Chloroflexi	Anaerolineae	SBR1031	A4b	Unassigned.A4b	Unassigned.A4b
OTU_1000	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Rhodocyclaceae	Unassigned.Rhodocyclaceae	Unassigned.Rhodocyclaceae
OTU_1006	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Unassigned.Burkholderiaceae	Unassigned.Burkholderiaceae
OTU_1008	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Unassigned.Aeromonas
OTU_101	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Unassigned.Bacillus
OTU_1013	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Mesorhizobium	Unassigned.Mesorhizobium
OTU_1014	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacterium	Unassigned.Microbacterium
OTU_1015	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Unassigned.Burkholderiaceae	Unassigned.Burkholderiaceae
OTU_1018	Bacteria	Fibrobacteres	Fibrobacteria	Fibrobacterales	Fibrobacteraceae	Unassigned.Fibrobacteraceae	Unassigned.Fibrobacteraceae
OTU_1020	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Unassigned.Paenibacillus
OTU_1021	Bacteria	Actinobacteria	Acidimicrobiia	IMCC26256	Unassigned.IMCC26256	Unassigned.IMCC26256	Unassigned.IMCC26256
OTU_1022	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae 1	Clostridium sensu stricto 10	Unassigned.Clostridium sensu stricto 10
OTU_1024	Bacteria	Chloroflexi	Chloroflexia	Thermomicrobiales	JG30-KF-CM45	Unassigned.JG30-KF-CM45	Unassigned.JG30-KF-CM45
OTU_1027	Bacteria	Actinobacteria	Acidimicrobiia	Microtrichales	Ilumatobacteraceae	Unassigned.Ilumatobacteraceae	Unassigned.Ilumatobacteraceae
OTU_1032	Bacteria	Actinobacteria	Acidimicrobiia	Microtrichales	Unassigned.Microtrichales	Unassigned.Microtrichales	Unassigned.Microtrichales
OTU_1034	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Unassigned.Saccharimonadales	Unassigned.Saccharimonadales	Unassigned.Saccharimonadales
OTU_105	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Unassigned.Bacillus
OTU_1055	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Unassigned.Paenibacillus
OTU_106	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Unassigned.Burkholderiaceae	Unassigned.Burkholderiaceae
OTU_1069	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Unassigned.Acinetobacter
OTU_107	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methyloligellaceae	Unassigned.Methyloligellaceae	Unassigned.Methyloligellaceae
OTU_1072	Bacteria	Dependentiae	Babeliae	Babeliales	Unassigned.Babeliales	Unassigned.Babeliales	Unassigned.Babeliales
OTU_1076	Bacteria	Actinobacteria	Actinobacteria	Kineosporiales	Kineosporiaceae	Kineosporia	Unassigned.Kineosporia
OTU_1078	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Unassigned.Rhizobiaceae	Unassigned.Rhizobiaceae
OTU_108	Bacteria	Planctomycetes	Planctomycetacia	Isosphaerales	Isosphaeraceae	Unassigned.Isosphaeraceae	Unassigned.Isosphaeraceae
OTU_1080	Bacteria	Planctomycetes	Planctomycetacia	Isosphaerales	Isosphaeraceae	Unassigned.Isosphaeraceae	Unassigned.Isosphaeraceae
OTU_1083	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Weeksellaceae	Chryseobacterium	Chryseobacterium indologenes
OTU_1090	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Unassigned.Mycobacterium
OTU_1092	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Unassigned.Paenibacillus
